ID,Make,Model,Year,Trim,Trim,Description,Price,Colors exterior,Colors interior,Image URL,Body type,Length (in),Width (in),Height (in),Wheelbase (in),Curb weight (lbs),Gross weight (lbs),Maximum payload (lbs),Maximum towing capacity (lbs),Cylinders,Engine size (l),Horsepower (HP),Horsepower (rpm),Torque (ft-lbs),Torque (rpm),Valves,Valve timing,Cam type,Drive type,Transmission,Engine type,Fuel type,Fuel tank capacity (gal),Combined MPG,EPA mileage (mpg),Range (miles),Front head room (in),Front hip room (in),Front leg room (in),Front shoulder room (in),Rear head room (in),Rear hip room (in),Rear leg room (in),Rear shoulder room (in),Front track (in),Rear track (in),Ground clearance (in),Angle of approach (degrees),Angle of departure (degrees),Turning circle (ft),Drag coefficient (Cd),EPA interior volume (cu ft),Cargo capacity (cu ft),Maximum cargo capacity (cu ft),Basic,Drivetrain,Roadside,Rust,Free maintenance,Hybrid component,EV battery,Front seats,Rear seats,Power features,Instrumentation,Convenience,Comfort,Memorized settings,In car entertainment,Telematics,Roof and glass,Body,Truck features,Tires and wheels,Doors,Towing and hauling,Safety features,Packages,Exterior options,Interior options,Mechanical options,Domestic / imported,Country of origin,Car classification,Platform code / generation number
213,BMW,3 Series,1990,325i 2dr Convertible,325i - Convertible,(2.5L 6-cyl. 5-speed Manual),,,,,Convertible,175.2,64.8,53.9,101.2,3055,,,,I6,2.5,168,5800,164,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,18,16/23 mpg,262.4/377.2 mi.,37.7,,39.6,,,,,,,,,,,34.4,,,11,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
216,BMW,3 Series,1990,325i 4dr Sedan,325i - Sedan,(2.5L 6-cyl. 5-speed Manual),,,,,Sedan,170.3,64.8,54.3,101.2,2854,,,,I6,2.5,168,5800,164,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,18,16/22 mpg,262.4/360.8 mi.,37.7,,39.6,,,,,,,,,,,34.4,,,14.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
222,BMW,3 Series,1990,325iX 4dr Sedan AWD,325iX - Sedan,(2.5L 6-cyl. AWD 5-speed Manual),,,,,Sedan,170.2,65.4,55.1,101.2,3044,,,,I6,2.5,168,5800,164,4300,,,,all wheel drive,5-speed manual,gas,regular unleaded,16.4,18,15/22 mpg,246.0/360.8 mi.,38.5,,39.6,,,,,,,,,,,36.4,,,14.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
218,BMW,3 Series,1990,325is 2dr Coupe,325is - Coupe,(2.5L 6-cyl. 5-speed Manual),,,,,Coupe,170.3,64.8,54.3,101.2,2845,,,,I6,2.5,168,5800,164,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,18,16/22 mpg,262.4/360.8 mi.,37.7,,39.6,,,,,,,,,,,34.4,,,14.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
215,BMW,3 Series,1990,325i 2dr Coupe,325i - Coupe,(2.5L 6-cyl. 5-speed Manual),,,,,Coupe,170.3,64.8,54.3,101.2,2810,,,,I6,2.5,168,5800,164,4300,,,,rear wheel drive,5-speed manual,gas,regular unleaded,16.4,18,16/22 mpg,262.4/360.8 mi.,37.7,,39.6,,,,,,,,,,,34.4,,,14.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
220,BMW,3 Series,1990,325iX 2dr Coupe AWD,325iX - Coupe,(2.5L 6-cyl. AWD 5-speed Manual),,,,,Coupe,170.2,65.4,55.1,101.2,3000,,,,I6,2.5,168,5800,164,4300,,,,all wheel drive,5-speed manual,gas,regular unleaded,16.4,18,15/22 mpg,246.0/360.8 mi.,38.5,,39.6,,,,,,,,,,,36.4,,,14.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
231,BMW,3 Series,1990,M3 2dr Coupe,M3 - Coupe,(2.3L 4-cyl. 5-speed Manual),,,,,Coupe,171.1,66.1,53.9,101,2865,,,,I4,2.3,192,6750,170,4750,,,,rear wheel drive,5-speed manual,gas,regular unleaded,14.5,18,15/26 mpg,217.5/377.0 mi.,37.7,,39.6,,,,,,,,,,,34.4,,,14.8,54,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E30
104,BMW,3 Series,1994,318i 2dr Convertible,318i - Convertible,(1.8L 4-cyl. 5-speed Manual),,Samoa Blue Metallic();Jet Black();Samana Beige Metallic();Brilliant Red();Orient Blue Metallic();Diamond Black Metallic();Arctic Silver Metallic();Mauritius Blue Metallic();Morea Green Metallic();Arctic Gray Metallic();Cashmere Beige Metallic();Oxford Green Metallic();Granite Silver Metallic();Sterling Silver Metallic();Boston Green Metallic();Alpine White II();Brocade Red Metallic();Calypso Red Metallic();,,,Convertible,174.5,67.3,53.1,106.3,3352,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,19/29 mpg,326.8/498.8 mi.,38.1,,41.2,,36.3,,28.1,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
108,BMW,3 Series,1994,325i 2dr Convertible,325i - Convertible,(2.5L 6-cyl. 5-speed Manual),,Brocade Red Metallic();Jet Black();Brilliant Red();Sterling Silver Metallic();Orient Blue Metallic();Arctic Silver Metallic();Calypso Red Metallic();Boston Green Metallic();Mauritius Blue Metallic();Samoa Blue Metallic();Morea Green Metallic();Diamond Black Metallic();Samana Beige Metallic();Granite Silver Metallic();Alpine White II();Oxford Green Metallic();Arctic Gray Metallic();Cashmere Beige Metallic();,,,Convertible,174.5,67.3,53.1,106.3,3351,,,,I6,2.5,189,5900,181,4200,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,20,17/26 mpg,292.4/447.2 mi.,38.1,,41.2,53.2,36.3,,28.1,43.6,,,,,,34.1,,,8.9,,,,,,,,,,,,,,,,,,,,,,,, N ; N head airbags; N side-mounted airbags; O ;,,,,,Imported,Germany,Compact car,E36
100,BMW,3 Series,1994,318i 4dr Sedan,318i - Sedan,(1.8L 4-cyl. 5-speed Manual),,Samoa Blue Metallic();Brilliant Red();Alpine White II();Diamond Black Metallic();Samana Beige Metallic();Sterling Silver Metallic();Cashmere Beige Metallic();Oxford Green Metallic();Granite Silver Metallic();Brocade Red Metallic();Arctic Gray Metallic();Orient Blue Metallic();Arctic Silver Metallic();Boston Green Metallic();Calypso Red Metallic();Jet Black();Mauritius Blue Metallic();Morea Green Metallic();,,,Sedan,174.5,66.8,54.8,106.3,2866,,,,I4,1.8,138,6000,129,4500,,,,rear wheel drive,5-speed manual,gas,regular unleaded,17.2,22,19/27 mpg,326.8/464.4 mi.,37.1,,41.1,53.5,36.7,,34,53.3,,,,,,34.1,,,10.3,,,,,,,,,,,,,,,,,,,,,,,, N ; N ; N head airbags; N side-mounted airbags;,,,,,Imported,Germany,Compact car,E36
